Matricula,Razon_Soc,Direccion,Localidad,Partido_Depto,PROVINCIA,CodPost,EMail,Telefono,CUIT,FechaInsc,Actividad
1,"EL HOGAR OBRERO COOP DE CONSUMO, EDIFICACION Y CREDITO LTDA",AV. LA PLATA N° 543,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1235ABC,eho@eho1905.org.ar,4901-0200/1741,30-50187582-8,20/09/1927,VIVIENDA Y CONSTRUCCION - CREDITO Y CONSUMO
5,ASOCIACION DE COOPERATIVAS ARGENTINAS COOP LTDA,AV. EDUARDO MADERO N° 942 piso 7º,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1106ACW,regueira@acacoop.com.ar,4310-1300,30-50012088-2,12/01/1928,FEDERACIONES - CONFEDERACIONES
10,"COOP DE LUZ Y FUERZA ELECTRICA, INDUSTRIAS Y OTROS SERVICIOS PUBLICOS, VIVIENDA Y CREDITO DE PUNTA ALTA LTDA",JUAN JOSE PASO N° 560,PUNTA ALTA,CORONEL ROSALES,BUENOS AIRES,B8109CGL,cepa@rcc.com.ar,02932-421837/421894,30-54571426-0,20/01/1928,SERVICIOS PUBLICOS
12,"EL PROGRESO AGRICOLA DE PIGUE COOP LTDA DE VIVIENDA, CREDITO Y OTROS SERVICIOS",AVDA. CASEY N° 99,PIGUE,SAAVEDRA,BUENOS AIRES,B8170,progreso@rcc.com.ar,02923-472223/472046,30-50004076-5,30/01/1928,DE SEGUROS
19,COOP DEL ESTE DE SERVICIOS CONSUMO Y VIVIENDA LTDA,BUENOS AIRES Y 25 DE JUNIO,PARANA,PARANA,ENTRE RIOS,E3100,,,33-50001053-9,12/03/1928,CONSUMO - VIVIENDA
24,COOP AGRICOLA ALGODONERA EL TRIUNFO LTDA,PLANTA URBANA,MARGARITA BELEN,1 DE MAYO,CHACO,H3505,,,30-52939808-1,23/03/1928,AGROPECUARIA
28,FEDERACION PATRONAL COOP LTDA,51 ENTRE 10 Y 11 N° 770,LA PLATA,LA PLATA,BUENOS AIRES,B1900AWP,,(0221)4290200/4290229,30-50004007-2,17/04/1928,DE SEGUROS
31,LIGA AGRICOLA GANADERA COOP LTDA,RIVADAVIA N° 199,JUNIN,JUNIN (BA),BUENOS AIRES,B6000,liga@speedy.com.ar,(02362) 43-1826/2999/1765,30-50360897-5,18/04/1928,AGROPECUARIA
34,COOP AGRICOLA CONESA LTDA,MENDOZA Y BELGRANO,GENERAL CONESA (469),SAN NICOLAS,BUENOS AIRES,B2907,,03461-492004,33-52568909-9,19/04/1928,AGROPECUARIA
44,"COTAX COOP DE PROVISION, CONSUMO, VIVIENDA Y CREDITO PARA PROPIETARIOS DE AUTOMOVILES DE ALQUILER Y AFINES LTDA",ANCHORENA N° 260,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1170ACD,cooperativa@cotax.org.ar,4861-3430,,12/06/1928,DE PROVISION
49,COOP AGRICOLA DE GENERAL ROJO LTDA,BV. SAN MARTIN N° 95,GENERAL ROJO,SAN NICOLAS,BUENOS AIRES,B2905,,91029,30-52615179-4,18/06/1928,AGROPECUARIA
63,COOP AGRICOLA GANADERA LABOR Y PROGRESO Y CAJA REGIONAL DE PRESTAMOS Y AHORROS LTDA,ARISTOBULO DEL VALLE Y URQUIZA,BAIGORRITA,GENERAL VIAMONTE,BUENOS AIRES,B6013,,,,20/08/1928,AGROPECUARIA
67,COOP AGRICOLA LUCIENVILLE LTDA,BARON HIRSCH N° 388,BASAVILBASO,URUGUAY,ENTRE RIOS,E3170,,,30-52614541-7,27/09/1928,AGROPECUARIA
70,SOCIEDAD COOP UNION POPULAR LTDA,BV. LOS INMIGRANTES N° 117 B° LOC.:SILVIO PELLICO,SIN LOCALIDAD (03),SIN DEPARTAMENTO (03),CORDOBA,X5907,coopagro_spellico@delmolle.com.ar,(0353) 487-4312/3,33-52638330-9,27/09/1928,AGROPECUARIA
71,LA MUTUA COOP DE CREDITO LTDA,TUCUMAN N° 2429 piso PB,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1052,,4962-2017/4963-7313,30-52733783-2,01/10/1928,CREDITO
78,COOP AGRICOLA AGRICULTORES UNIDOS LTDA,9 DE JULIO N° 443,CARCARAÑA,SAN LORENZO (SF),SANTA FE,S2138,coop_admin@arnet.com.ar,(0341) 4941216/145,30-53071118-4,25/10/1928,AGROPECUARIA
79,COOP OBRERA LTDA,CANGALLO N° 137,ROSARIO,ROSARIO,SANTA FE,S2000,,,,29/10/1928,CONSUMO
84,COOP LTDA TAMBEROS DE GESSLER,SAN MARTIN N° 1000,GESSLER,SAN JERONIMO,SANTA FE,S2253,,,30-50190513-1,07/11/1928,AGROPECUARIA
86,COOP AGRICOLA DE PRODUCTORES LTDA,ACCESO Y RUTA 41,BARADERO,BARADERO,BUENOS AIRES,B2942,,81578,30-52538043-9,12/11/1928,AGROPECUARIA
93,COOP AGRICOLA FEDERAL LTDA DE SAN JOSE DE LA ESQUINA,RIVADAVIA N° 402,SAN JOSE DE LA ESQUINA,CASEROS,SANTA FE,S2185,,61306,30-52624023-1,05/12/1928,AGROPECUARIA
97,COOP AGROPECUARIA FEDERADA DE ALVAREZ Y PIÑERO LTDA,SAN MARTIN N° 689,ALVAREZ,ROSARIO,SANTA FE,S2107ZAA,coopalvarez@msn.com,03402-461165/461019,30-52949144-8,05/12/1928,AGROPECUARIA
98,COOP AGRICOLA FEDERAL LTDA DE LOS QUIRQUINCHOS,25 DE MAYO N° 320,LOS QUIRQUINCHOS,CASEROS,SANTA FE,S2637,,10,30-50603235-7,05/12/1928,AGROPECUARIA
99,COOP AGRICOLA DE LA COLONIA LIEBIG LTDA,C.C. N° 1,COLONIA LIEBIG S,ITUZAINGO (CTE),CORRIENTES,W3358,,,30-51091471-2,05/12/1928,AGROPECUARIA
102,COOP RURAL DE GENERAL VIAMONTE LTDA,ELECTO URQUIZO N° 171,LOS TOLDOS,GENERAL VIAMONTE,BUENOS AIRES,B6015CJC,cooprural@ceviamonte.com.ar,02358-442541/442259,30-50874352-8,11/12/1928,AGROPECUARIA
107,COOP AGROPECUARIA DE PRESIDENCIA ROQUE SAENZ PEÑA LTDA,SARGENTO CABRAL N° 46,PRESIDENCIA ROQUE SAENZ PEÑA,COMANDANTE FERNANDEZ,CHACO,H3700,,,30-50104653-8,28/12/1988,AGROPECUARIA
116,COOP AGROPECUARIA DE LOPEZ LTDA,BUENOS AIRES N° 1199,LOPEZ,SAN JERONIMO,SANTA FE,S2255ACB,cooplopez@arnet.com.ar,(03404) 498-001/127,30-50837876-5,24/04/1929,AGROPECUARIA
117,BANCO CAYASTA COOP LTDO,TUCUMAN N° 2672,SANTA FE,LA CAPITAL (SF),SANTA FE,S3000,,,30-57981422-1,29/04/1929,CREDITO
120,COOP AGRICOLA LA VENCEDORA LTDA,RIVADAVIA N° 200,HERNANDO,TERCERO ARRIBA,CORDOBA,X5968ATO,cooperativa@lavencedora.com.ar,(0353) 4960-133/259,33-52233245-9,20/05/1929,AGROPECUARIA
130,COOP AGRICOLA SAN EUGENIO LTDA,ZONA RURAL,SAN EUGENIO,SAN JERONIMO,SANTA FE,S2253,coopsaneugenio@cegnet.com.ar,03404-482224/15458603,30-50833102-5,01/07/1929,AGROPECUARIA
134,LA RAFAELENSE COOP VITIVINIFRUTICOLA AGRICOLA DE SAN RAFAEL LTDA,RUTA NAC.143 - RAMA CAIDA,SAN RAFAEL,SAN RAFAEL,MENDOZA,M5600,,,30-59746670-2,16/07/1929,AGROPECUARIA
140,UNION AGRICOLA DE AVELLANEDA COOP LTDA,GENERAL SAN MARTIN N° 744,AVELLANEDA (SF),GENERAL OBLIGADO,SANTA FE,S3561,,,30-50191240-5,19/08/1929,AGROPECUARIA
146,LA DULCE COOP DE SEGUROS LTDA,24 N° 1002,LA DULCE,NECOCHEA,BUENOS AIRES,B7637ANN,ladulce@satlink.com,02264-432101/432046,30-50004144-3,10/09/1929,DE SEGUROS
148,COOP OBRERA LTDA DE CONSUMO Y VIVIENDA,PARAGUAY N° 445,BAHIA BLANCA,BAHIA BLANCA,BUENOS AIRES,B8000HXI,GCIACOL@COOPERATIVAOBRERA.COM.AR,0291-4535181,30-52570593-1,13/09/1929,CONSUMO - VIVIENDA
151,LA DENTAL ARGENTINA COOP LTDA,MARCELO T. DE ALVEAR N° 2153 piso 1º,C. Autonoma de Bs As,,CAPITAL FEDERAL,C1122,coop-dental@yahoo.com.ar,4822-8837 / 821-0312,30-52533413-5,08/10/1929,DE PROVISION
162,COOP LTDA LECHERA DE SAN AGUSTIN,Sin datos calle,SAN AGUSTIN,LAS COLONIAS,SANTA FE,S3017,,,,27/11/1929,AGROPECUARIA
170,SOC. COOP DE CONSUMOS LTDA ENTRE EL PERSONAL DEL FERROCARRIL NACIONAL GRAL SAN MARTIN,Sin datos calle,C. Autonoma de Bs As,,CAPITAL FEDERAL,C0,,,,24/01/1930,CONSUMO
171,COOP LTDA LECHERA DE PILAR,Sin datos calle,PILAR (SF),LAS COLONIAS,SANTA FE,S3085,,,30-62713029-1,29/01/1930,AGROPECUARIA
173,COOP DE TAMBEROS DE MATILDE LTDA,SIMON DE IRIONDO N° 2801,ESPERANZA,LAS COLONIAS,SANTA FE,S3080,,3128,33-62664044-9,18/02/1930,AGROPECUARIA
175,COOP TABAQUERA Y YERBATERA DE RINCON DE BONPLAND-MISIONES SOCIEDAD COOP LTDA,CNIA.ENSANCHE BOMPLAND N° 1,LEANDRO N. ALEM,LEANDRO N. ALEM (MN),MISIONES,N3315,,,30-54701027-9,24/03/1930,AGROPECUARIA
181,COOP AGROPECUARIA EL PROGRESO LTDA,AV. KENEDY Y 8 DE FEB.,PRESIDENCIA ROQUE SAENZ PEÑA,COMANDANTE FERNANDEZ,CHACO,H3700,,(03732) 15444111/425747,30-50168392-9,18/08/1930,AGROPECUARIA
183,COOP DE CREDITO DEL PERSONAL DE LOS TRIBUNALES DE TUCUMAN LTDA,Sin datos calle,SAN MIGUEL DE TUCUMAN,CAPITAL (TUC),TUCUMAN,T4000,,,,20/08/1930,CREDITO
187,"LA PREVISION COOP DE PROVISION DE SERVICIOS AGROPECUARIOS, SOCIALES Y ASISTENCIALES LTDA",AVDA. MORENO N° 101,TRES ARROYOS,TRES ARROYOS,BUENOS AIRES,B7500,,0983/30201,30-50004120-6,05/09/1930,DE PROVISION
191,LA REGINENSE COOP VITIVINICOLA FRUTICOLA Y HORTICOLA COLONIA REGINA LTDA,LOS NOGALES N° 198,VILLA REGINA,GENERAL ROCA (RN),RIO NEGRO,R8336,,,30-50214569-6,09/10/1930,AGROPECUARIA
